Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-11,6.25,-0.37960927662529403,-0.37960927662529403
2025-02-14,10.75,0.45794134957972005,0.45794134957972005
2025-02-16,2.75,-1.0310375414514161,-1.0310375414514161
2025-02-17,3.75,-0.8449151800725241,-0.8449151800725241
2025-02-18,6.25,-0.37960927662529403,-0.37960927662529403
2025-02-19,7.0,-0.240017505591125,-0.240017505591125
2025-02-20,5.0,-0.6122622283489091,-0.6122622283489091
2025-02-23,1.5,-1.263690493175031,-1.263690493175031
2025-02-24,9.75,0.27181898820082806,0.27181898820082806
2025-02-25,11.25,0.551002530269166,0.551002530269166
2025-02-26,10.75,0.45794134957972005,0.45794134957972005
2025-03-02,3.0,-0.9845069511066931,-0.9845069511066931
2025-03-03,17.0,1.621206108197795,1.621206108197795
2025-03-04,19.0,1.9934508309555792,1.9934508309555792
2025-03-05,16.0,1.435083746818903,1.435083746818903
2025-03-06,10.25,0.364880168890274,0.364880168890274
2025-03-09,4.0,-0.798384589727801,-0.798384589727801
2025-03-11,13.25,0.9232472530269501,0.9232472530269501
2025-03-16,3.5,-0.891445770417247,-0.891445770417247
2025-03-17,8.0,-0.053895144212232994,-0.053895144212232994
2025-03-18,7.5,-0.146956324901679,-0.146956324901679
2025-03-19,11.25,0.551002530269166,0.551002530269166
2025-03-20,8.5,0.03916603647721301,0.03916603647721301
2025-03-21,6.75,-0.286548095935848,-0.286548095935848
2025-03-23,3.0,-0.9845069511066931,-0.9845069511066931
2025-03-24,7.5,-0.146956324901679,-0.146956324901679
2025-03-25,8.0,-0.053895144212232994,-0.053895144212232994
2025-03-26,4.75,-0.658792818693632,-0.658792818693632
2025-03-30,5.75,-0.47267045731474006,-0.47267045731474006
2025-03-31,9.25,0.17875780751138204,0.17875780751138204
2025-04-01,7.0,-0.240017505591125,-0.240017505591125
2025-04-02,23.75,2.877532047505316,2.877532047505316
2025-04-03,17.25,1.6677366985425182,1.6677366985425182
2025-04-06,14.75,1.2024307950952882,1.2024307950952882
2025-04-07,38.25,5.576306287499251,5.576306287499251
2025-04-08,32.5,4.506102709570621,4.506102709570621
2025-04-09,19.5,2.0865120116450253,2.0865120116450253
2025-04-13,9.25,0.17875780751138204,0.17875780751138204
2025-04-15,11.5,0.5975331206138891,0.5975331206138891
2025-04-16,10.25,0.364880168890274,0.364880168890274
2025-04-17,6.25,-0.37960927662529403,-0.37960927662529403
2025-04-20,2.5,-1.077568131796139,-1.077568131796139
2025-04-21,9.75,0.27181898820082806,0.27181898820082806
2025-04-22,8.0,-0.053895144212232994,-0.053895144212232994
2025-04-23,11.5,0.5975331206138891,0.5975331206138891
2025-04-24,8.0,-0.053895144212232994,-0.053895144212232994
2025-04-27,2.25,-1.124098722140862,-1.124098722140862
2025-04-28,10.5,0.41141075923499704,0.41141075923499704
2025-04-29,9.5,0.22528839785610502,0.22528839785610502
2025-05-01,14.5,1.155900204750565,1.155900204750565
2025-05-04,3.5,-0.891445770417247,-0.891445770417247
2025-05-05,8.5,0.03916603647721301,0.03916603647721301
2025-05-06,1.5,-1.263690493175031,-1.263690493175031
