Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-12,1.0,-0.6701591821296076,-0.6701591821296076
2025-01-16,2.8125,0.41340768043850223,0.41340768043850223
2025-01-17,2.0625,-0.03496481441726734,-0.03496481441726734
2025-01-19,0.6875,-0.8569810549861782,-0.8569810549861782
2025-01-20,2.375,0.1518570584393033,0.1518570584393033
2025-01-21,1.9375,-0.1096935635598956,-0.1096935635598956
2025-01-22,1.375,-0.4459729347017228,-0.4459729347017228
2025-01-23,1.6875,-0.25915106184515213,-0.25915106184515213
2025-01-26,0.6875,-0.8569810549861782,-0.8569810549861782
2025-01-27,2.625,0.3013145567245598,0.3013145567245598
2025-01-28,1.4375,-0.40860856013040864,-0.40860856013040864
2025-01-29,2.3125,0.11449268386798918,0.11449268386798918
2025-02-02,1.5625,-0.33387981098778036,-0.33387981098778036
2025-02-03,1.75,-0.221786687273838,-0.221786687273838
2025-02-04,1.9375,-0.1096935635598956,-0.1096935635598956
2025-02-05,1.6875,-0.25915106184515213,-0.25915106184515213
2025-02-06,0.875,-0.7448879312722358,-0.7448879312722358
2025-02-09,0.5625,-0.9317098041288064,-0.9317098041288064
2025-02-11,0.9375,-0.7075235567009217,-0.7075235567009217
2025-02-14,2.125,0.002399560154046788,0.002399560154046788
2025-02-16,0.4375,-1.0064385532714346,-1.0064385532714346
2025-02-17,0.625,-0.8943454295574923,-0.8943454295574923
2025-02-18,1.1875,-0.5580660584156651,-0.5580660584156651
2025-02-19,1.625,-0.29651543641646627,-0.29651543641646627
2025-02-20,0.875,-0.7448879312722358,-0.7448879312722358
2025-02-23,0.5,-0.9690741787001206,-0.9690741787001206
2025-02-24,2.25,0.07712830929667505,0.07712830929667505
2025-02-25,2.4375,0.18922143301061745,0.18922143301061745
2025-02-26,5.9375,2.281626409004209,2.281626409004209
2025-03-02,4.8125,1.6090676667205543,1.6090676667205543
2025-03-03,8.5,3.8135657664280878,3.8135657664280878
2025-03-04,8.625,3.888294515570716,3.888294515570716
2025-03-05,8.3125,3.7014726427141458,3.7014726427141458
2025-03-06,7.5,3.215735773287062,3.215735773287062
2025-03-09,1.25,-0.520701683844351,-0.520701683844351
2025-03-11,5.3125,1.9079826632910675,1.9079826632910675
2025-03-16,2.6875,0.33867893129587395,0.33867893129587395
2025-03-17,3.125,0.6002295532950729,0.6002295532950729
2025-03-18,2.625,0.3013145567245598,0.3013145567245598
2025-03-19,4.9375,1.6837964158631826,1.6837964158631826
2025-03-20,2.3125,0.11449268386798918,0.11449268386798918
2025-03-21,2.0625,-0.03496481441726734,-0.03496481441726734
2025-03-23,0.8125,-0.7822523058435499,-0.7822523058435499
2025-03-24,2.25,0.07712830929667505,0.07712830929667505
2025-03-25,1.875,-0.14705793813120974,-0.14705793813120974
2025-03-26,1.0,-0.6701591821296076,-0.6701591821296076
2025-03-30,1.625,-0.29651543641646627,-0.29651543641646627
2025-03-31,2.75,0.3760433058671881,0.3760433058671881
2025-04-01,2.0625,-0.03496481441726734,-0.03496481441726734
2025-04-02,0.5,-0.9690741787001206,-0.9690741787001206
